"Day","Year A","Year B","Year C"
"The Fifth Sunday of Easter","Acts 17:1-15 or Deut 6:20-25|Ps 66:1-11v or 66:1-8v|1 Pet 2:1-12|John 14:1-14","Acts 8:26-40 or Deut 4:32-40|Ps 66:1-11v or 66:1-8v|1 John 3:(11-17)18-24|John 14:15-21","Acts 13:44-52 or Lev 19:1-2,9-18|Ps 145 or 145:1-9v|Rev 19:1-9|John 13:31-35"
"The Sixth Sunday of Easter: Rogation Sunday","Acts 17:(16-21)22-34 or Isa 41:17-20|Ps 148 or 148:7-14|1 Pet 3:8-18|John 15:1-11","Acts 11:19-30 or Isa 45:11-13,18-19(20-25)|Ps 33 or 33:1-8,17-21v|1 John 4:7-21|John 15:9-17","Acts 14:8-18 or Joel 2:21-27|Ps 67|Rev 21:1-4,21:22-22:5|John 14:21-29"
"The Sunday after Ascension Day","Acts 1:(1-5)6-14 or Ezek 39:21-29|Ps 68:1-20 or 47|1 Pet 4:12-19|John 17:1-11","Acts 1:15-26 or Ex 28:1-4,9-10,29-30|Ps 68:1-20 or 47|1 John 5:6-15|John 17:11b-19","Acts 16:16-34 or 1 Sam 12:19-24|Ps 68:1-20 or 47|Rev 22:10-21|John 17:20-26"
"The Day of Pentecost","Gen 11:1-9 or Acts 2:1-11(12-21)|Ps 104:24-35v|Acts 2:1-11(12-21)or 1 Cor 12:4-13|John 14:8-17","Gen 11:1-9 or Acts 2:1-11(12-21)|Ps 104:24-35v|Acts 2:1-11(12-21)or 1 Cor 12:4-13|John 14:8-17","Gen 11:1-9 or Acts 2:1-11(12-21)|Ps 104:24-35v|Acts 2:1-11(12-21)or 1 Cor 12:4-13|John 14:8-17"
"Trinity Sunday","Gen 1:1-2:3|Ps 150|2 Cor 13:5-14|Matt 28:16-20","Ex 3:1-6|Ps 93|Rom 8:12-17|John 3:1-16","Isa 6:1-7|Ps 29|Rev 4:1-11|John 16:(5-11)12-15"
"Proper 1","Ecclesiasticus 15:11-20|Ps 119:1-16|1 Cor 3:1-9|Matt 5:21-37","2 Kings 5:1-15a|Ps 42|1 Cor 9:24-27|Mark 1:40-45","Jer 17:5-10|Ps 1|1 Cor 15:12-20|Luke 6:17-26"
"Proper 2","Lev 19:1-2,9-18|Ps 71 or 71:11-23v|1 Cor 3:10-23|Matt 5:38-48","Isa 43:18-25|Ps 32|2 Cor 1:18-22|Mark 2:1-12","Gen 45:3-11,21-28|Ps 37:(1-6)7-17v|1 Cor 15:35-49|Luke 6:27-38"
"Proper 3","Isa 49:8-18(19-23)|Ps 62|1 Cor 4:1-13|Matt 6:24-34","Hos 2:14-23|Ps 103 or 103:1-14|2 Cor 3:4-18|Mark 2:18-22","Jer 7:1-15|Ps 92|1 Cor 15:50-58|Luke 6:39-49"
"Proper 4","Deut 11:18-32|Ps 31 or Ps 31:18-27v|Rom 3:21-31|Matt 7:21-27","Deut 5:6-21|Ps 81:1-10(11-16)|2 Cor 4:1-12|Mark 2:23-28","1 Kings 8:22-30,41-43|Ps 96|Gal 1:1-10|Luke 7:1-10"
"Proper 5","Hos 5:15-6:6|Ps 50|Rom 4:13-18|Matt 9:9-13","Gen 3:1-21|Ps 130|2 Cor 4:13-18|Mark 3:20-35","1 Kings 17:17-24|Ps 30|Gal 1:11-24|Luke 7:11-17"
"Proper 6","Ex 19:1-8|Ps 100|Rom 5:1-11|Matt 9:35-10:15","Ezek 31:1-6(7-9)10-14|Ps 92|2 Cor 5:1-10|Mark 4:26-34","2 Sam 11:26-12:15|Ps 32:1-6(7-12)v|Gal 2:11-21|Luke 7:36-8:3"
"Proper 7","Jer 20:7-13|Ps 69:1-15(16-18)v|Rom 5:15b-19|Matt 10:16-33","Job 38:1-11(12-15)16-18|Ps 107:1-3(4-22)23-32|2 Cor 5:14-21|Mark 4:35-41(5:1-20)","Zech 12:8-10,13:1|Ps 63|Gal 3:23-29|Luke 9:18-24"
"Proper 8","Isa 2:10-17|Ps 89:1-18v|Rom 6:1-11|Matt 10:34-42","Deut 15:7-11|Ps 112|2 Cor 8:1-15|Mark 5:22-43","1 Kings 19:15-21|Ps 16|Gal 5:1,13-25|Luke 9:51-62"
"Proper 9","Zech 9:9-12|Ps 145:1-13(14-21)v|Rom 7:21-8:6|Matt 11:25-30","Ezek 2:1-7|Ps 123|2 Cor 12:2-10|Mark 6:1-6","Isa 66:10-16|Ps 66 or 66:1-8v|Gal 6:(1-5)6-18|Luke 10:1-20"
"Proper 10","Isa 55|Ps 65|Rom 8:7-17|Matt 13:1-9,18-23","Amos 7:7-15|Ps 85|Eph 1:1-14(15-23)|Mark 6:7-13","Deut 30:9-14|Ps 25:1-14(15-21)v|Col 1:1-14|Luke 10:25-37"
"Proper 11","Wisdom 12:13,16-19|Ps 86|Rom 8:18-25|Matt 13:24-30,34-43","Isa 57:14-21|Ps 22:23-31v|Eph 2:11-22|Mark 6:30-44","Gen 18:1-14|Ps 15|Col 1:21-29|Luke 10:38-42"
"Proper 12","1 Kings 3:3-14|Ps 119:121-136|Rom 8:26-34|Matt 13:31-33,44-50","2 Kings 2:1-15|Ps 114|Eph 3:(1-7)8-21|Mark 6:45-52","Gen 18:20-33|Ps 138|Col 2:6-15|Luke 11:1-13"
"Proper 13","Neh 9:16-21|Ps 78:(1-13)14-26v|Rom 8:35-39|Matt 14:13-21","Ex 16:2-4(5-8)9-15|Ps 78:(1-13)14-26v|Eph 4:1-16|John 6:24-35","Eccl 1:12-2:11|Ps 49:1-12(13-21)v|Col 3:5-17|Luke 12:13-21"
"Proper 14","Jon 2:1-10|Ps 29|Rom 9:1-5|Matt 14:22-33","Deut 8:1-10|Ps 34:(1-7)8-15(16-22)|Eph 4:17-5:2|John 6:37-51","Gen 15:1-6|Ps 33(1-9)10-21v|Heb 11:1-16|Luke 12:32-40"
"Proper 15","Isa 56:1-8|Ps 67|Rom 11:13-24|Matt 15:21-28","Prov 9:1-6|Ps 147|Eph 5:3-14|John 6:53-59","Jer 23:23-29|Ps 82|Heb 12:1-14|Luke 12:49-56"
"Proper 16","Isa 51:1-6|Ps 138|Rom 11:25-36|Matt 16:13-20","Josh 24:1-2a,14-25|Ps 16|Eph 5:15-33(6:1-9)|John 6:60-69","Isa 28:14-22|Ps 46|Heb 12:(15-17)18-29|Luke 13:22-30"
"Proper 17","Jer 15:15-21|Ps 26|Rom 12:1-8|Matt 16:21-27","Deut 4:1-9|Ps 15|Eph 6:10-20|Mark 7:1-23","Ecclesiasticus 10:7-18|Ps 112|Heb 13:1-8|Luke 14:1,7-14"
