"Day","Year A","Year B","Year C"
"Mary Magdalene","Judg 4:4-10 or Judith 9:1,11-14|Ps 42:1-7(8-15)|2 Cor 5:14-20a|John 20:11-18","Judg 4:4-10 or Judith 9:1,11-14|Ps 42:1-7(8-15)|2 Cor 5:14-20a|John 20:11-18","Judg 4:4-10 or Judith 9:1,11-14|Ps 42:1-7(8-15)|2 Cor 5:14-20a|John 20:11-18"
"James the Elder, Apostle","Jer 45:1-5|Ps 7:1-11(12-18)|Acts 11:27-12:3|Matt 20:20-28","Jer 45:1-5|Ps 7:1-11(12-18)|Acts 11:27-12:3|Matt 20:20-28","Jer 45:1-5|Ps 7:1-11(12-18)|Acts 11:27-12:3|Matt 20:20-28"
"The Transfiguration of Our Lord Jesus Christ","Ex 34:29-35|Ps 99|2 Pet 1:13-21|Luke 9:28-36","Ex 34:29-35|Ps 99|2 Pet 1:13-21|Luke 9:28-36","Ex 34:29-35|Ps 99|2 Pet 1:13-21|Luke 9:28-36"
"The Virgin Mary, Mother of Our Lord Jesus Christ","Isa 61:10-11|Ps 34|Gal 4:4-7|Luke 1:46-55","Isa 61:10-11|Ps 34|Gal 4:4-7|Luke 1:46-55","Isa 61:10-11|Ps 34|Gal 4:4-7|Luke 1:46-55"
"Bartholomew the Apostle","Deut 18:15-18|Ps 91|1 Cor 4:9-16|Luke 22:24-30","Deut 18:15-18|Ps 91|1 Cor 4:9-16|Luke 22:24-30","Deut 18:15-18|Ps 91|1 Cor 4:9-16|Luke 22:24-30"
"Holy Cross Day","Isa 45:21-25|Ps 98|Phil 2:5-11|John 12:31-36a","Isa 45:21-25|Ps 98|Phil 2:5-11|John 12:31-36a","Isa 45:21-25|Ps 98|Phil 2:5-11|John 12:31-36a"
"Matthew, Apostle and Evangelist","Prov 3:1-12|Ps 119:33-40|2 Tim 3:1-17|Matt 9:9-13","Prov 3:1-12|Ps 119:33-40|2 Tim 3:1-17|Matt 9:9-13","Prov 3:1-12|Ps 119:33-40|2 Tim 3:1-17|Matt 9:9-13"
"Holy Michael and All Angels","Gen 28:10-17|Ps 103|Rev 12:7-12|John 1:47-51","Gen 28:10-17|Ps 103|Rev 12:7-12|John 1:47-51","Gen 28:10-17|Ps 103|Rev 12:7-12|John 1:47-51"
"Luke the Evangelist and Companion of Paul","Ecclesiasticus 38:1-14|Ps 147:1-11v|2 Tim 4:1-13|Luke 4:14-21","Ecclesiasticus 38:1-14|Ps 147:1-11v|2 Tim 4:1-13|Luke 4:14-21","Ecclesiasticus 38:1-14|Ps 147:1-11v|2 Tim 4:1-13|Luke 4:14-21"
"James of Jerusalem, Bishop and Martyr, Brother of Our Lord","Acts 15:12-22a|Ps 1|1 Cor 15:1-11|Matt 13:54-58","Acts 15:12-22a|Ps 1|1 Cor 15:1-11|Matt 13:54-58","Acts 15:12-22a|Ps 1|1 Cor 15:1-11|Matt 13:54-58"
"Simon and Jude, Apostles","Deut 32:1-4|Ps 119:89-96|Eph 2:13-22|John 15:17-27","Deut 32:1-4|Ps 119:89-96|Eph 2:13-22|John 15:17-27","Deut 32:1-4|Ps 119:89-96|Eph 2:13-22|John 15:17-27"
"All Saints' Day","Ecclesiasticus 44:1-14 or Rev 7:9-17|Ps 149|Rev 7:9-17 or Eph 1:(11-14)15-23|Matt 5:1-12 or Luke 6:20-26(27-36)","Ecclesiasticus 44:1-14 or Rev 7:9-17|Ps 149|Rev 7:9-17 or Eph 1:(11-14)15-23|Matt 5:1-12 or Luke 6:20-26(27-36)","Ecclesiasticus 44:1-14 or Rev 7:9-17|Ps 149|Rev 7:9-17 or Eph 1:(11-14)15-23|Matt 5:1-12 or Luke 6:20-26(27-36)"
"Andrew the Apostle","Deut 30:11-14|Ps 19 or 19:1-6|Rom 10:8b-18|Matt 4:18-22","Deut 30:11-14|Ps 19 or 19:1-6|Rom 10:8b-18|Matt 4:18-22","Deut 30:11-14|Ps 19 or 19:1-6|Rom 10:8b-18|Matt 4:18-22"
"Thomas the Apostle","Hab 2:1-4|Ps 126|Heb 10:35-11:1|John 20:19-29","Hab 2:1-4|Ps 126|Heb 10:35-11:1|John 20:19-29","Hab 2:1-4|Ps 126|Heb 10:35-11:1|John 20:19-29"
"The Nativity of Our Lord Jesus Christ: Christmas Day I","Isa 9:1-7|Ps 96|Titus 2:11-14|Luke 2:1-14(15-20)","Isa 9:1-7|Ps 96|Titus 2:11-14|Luke 2:1-14(15-20)","Isa 9:1-7|Ps 96|Titus 2:11-14|Luke 2:1-14(15-20)"
"The Nativity of Our Lord Jesus Christ: Christmas Day II","Isa 62:6-12|Ps 97|Titus 3:4-7|Luke 2:(1-14)15-20","Isa 62:6-12|Ps 97|Titus 3:4-7|Luke 2:(1-14)15-20","Isa 62:6-12|Ps 97|Titus 3:4-7|Luke 2:(1-14)15-20"
"The Nativity of Our Lord Jesus Christ: Christmas Day III","Isa 52:7-12|Ps 98|Heb 1:1-12|John 1:1-18","Isa 52:7-12|Ps 98|Heb 1:1-12|John 1:1-18","Isa 52:7-12|Ps 98|Heb 1:1-12|John 1:1-18"
"Stephen, Deacon and Martyr","Jer 26:1-9(10-11)12-15|Ps 31:1-6(7-27)v|Acts 6:8-7:2a,51-60|Matt 23:29-39","Jer 26:1-9(10-11)12-15|Ps 31:1-6(7-27)v|Acts 6:8-7:2a,51-60|Matt 23:29-39","Jer 26:1-9(10-11)12-15|Ps 31:1-6(7-27)v|Acts 6:8-7:2a,51-60|Matt 23:29-39"
"John, Apostle and Evangelist","Ex 33:18-23|Ps 92:1-4(5-10)11-14|1 John 1|John 21:9-25 or John 1:1-18","Ex 33:18-23|Ps 92:1-4(5-10)11-14|1 John 1|John 21:9-25 or John 1:1-18","Ex 33:18-23|Ps 92:1-4(5-10)11-14|1 John 1|John 21:9-25 or John 1:1-18"
"The Holy Innocents","Jer 31:15-17|Ps 124|Rev 21:1-7|Matt 2:13-18","Jer 31:15-17|Ps 124|Rev 21:1-7|Matt 2:13-18","Jer 31:15-17|Ps 124|Rev 21:1-7|Matt 2:13-18"
